,x,r,Mach Number,Stagnation Temperature (K),Stagnation Pressure (kPa),Static Temperature (K),Heat Transfer Coefficient,Heat Flux (kW/m2),Viscosity (Pa s),Thermal Conductivity (W/m K),Density (kg/m3),Velocity (m/s),Reynold's Number,Skin Friction Coefficient
338,7.376813370359345,0.8800106509569009,0.6970247315218274,3399.0888540739465,2064.222381638754,3392.7744922528527,61888.813105309404,192189.22531560156,6.014903426727534e-05,0.14041995840516633,0.017890379866826612,134.55026302914794,7498.557898471761,0.009670010231543829
339,7.398638261987627,0.8734828094490902,0.7184600994223869,3399.083555063406,2063.957419377293,3392.3608089040376,62759.45818837617,194889.79150434423,6.023459028718073e-05,0.14071457097346113,0.017888198480390128,138.67958673958265,7739.599287140161,0.009609013161412723
340,7.420463153615909,0.8669549679412797,0.7423172550758637,3399.0782203856725,2063.6738417380875,3391.8767270743742,63654.425919878195,197665.3659780039,6.0332642439797206e-05,0.14105238762181466,0.0178856458769583,143.27435167841705,8005.4406929858615,0.009544329728753678
341,7.442288045244191,0.8604271264334694,0.768547218550429,3399.0728493229076,2063.370353454197,3391.3197410737534,64574.79911893864,200519.25859116286,6.044392223356916e-05,0.14143600041736623,0.017882708843822075,148.32480642937102,8295.344589795684,0.00947666649590747
342,7.464112936872473,0.8538992849256589,0.7940758113632831,3399.0674437089656,2063.0479264961405,3390.7628155837187,65514.96816137388,203434.46097831373,6.055582872805834e-05,0.14182201149060666,0.017879772129767886,153.2390811001411,8578.024205701835,0.009413367846096624
343,7.485937828500755,0.8481638255462106,0.8159487525878975,3399.062011490054,2062.708039771167,3390.2717845780576,66356.6676036443,206044.2313553545,6.065449933423615e-05,0.14216256319868306,0.017877182882771025,157.448673675983,8823.782246582618,0.009360337907410874
344,7.507762720129037,0.8447738172667149,0.8373770596832734,3399.0565580951234,2062.3493523903717,3389.7607576602545,66878.71337101403,207661.33203458803,6.075343799492689e-05,0.14250422391630668,0.01787448819569,161.57138544112323,9065.071675104127,0.009309969001681977
345,7.529587611757321,0.8413838089872189,0.8626476721187805,3399.0510824512285,2061.9678266634573,3389.0976210879758,67416.69841977155,209327.08842444237,6.087272465750244e-05,0.14291639475095919,0.01787099142188231,166.43105268640812,9344.69121492261,0.009253573788256702
346,7.551412503385602,0.837993800707723,0.8929531289191754,3399.045583815112,2061.5607760667394,3388.207082330417,67974.462166588,211053.11373340167,6.101936480306844e-05,0.1434234416489673,0.017866295537680786,172.2552639781514,9673.887382969979,0.009189719974972062
347,7.573237395013884,0.8346037924282272,0.9231189392495084,3399.0400647119423,2061.132187667305,3387.2893622185866,68540.16884997397,212803.51452620444,6.117005825592957e-05,0.1439449159638439,0.017861456324097174,178.05028637662807,10000.822473144468,0.009128834629089562
348,7.5950622866421655,0.8318381503013721,0.9423901185882178,3399.0345346972063,2060.6898919532996,3386.726714879347,68991.48926240882,214200.6275953714,6.126927219200721e-05,0.1442884717100064,0.017858489438566834,181.75219587372467,10219.896682216708,0.009089357438300253
349,7.6168871782704475,0.8313915824557535,0.9545731711913151,3399.0290002034753,2060.23512131219,3386.3215400429117,69079.38317671575,214470.70453529654,6.133245526779349e-05,0.14450735361636396,0.017856352918768057,184.0908431405394,10369.208780312463,0.009063028790917308
350,7.638712069898729,0.830945014610135,0.9718613290328435,3399.0234606751224,2059.765111642905,3385.4544643806753,69179.74681306058,214778.41320479647,6.141995062976062e-05,0.1448105782138382,0.0178517807642896,187.40089307060458,10568.111272448432,0.009028653954945186
351,7.660536961527012,0.8304984467645166,0.9900563070602859,3399.0179104887643,2059.258626030631,3384.477167579068,69282.1422891246,215092.15642338656,6.151301187297254e-05,0.14513324272638942,0.017846627407429008,190.88181480189198,10775.723334533177,0.008993592317035105
352,7.682361853155295,0.830051878918898,1.0535104813267449,3399.0123684011787,2058.7808560303574,3382.9492062925287,69527.01734680781,215838.11232577363,6.187483446876196e-05,0.14638922425525625,0.017838570365193294,203.06985836086315,11424.040351730726,0.008889115265208728
353,7.704186744783577,0.8301065646355925,1.0851327481092696,3399.0068073414927,2058.2036636060493,3382.377943656865,69603.37096601348,216067.43805689036,6.20657263391766e-05,0.14705278383211517,0.01783555804712514,209.14756063325407,11761.10072427776,0.008837570464001613
354,7.726011636411858,0.8325790616528553,1.114825661327549,3399.0012540729344,2057.603060640974,3381.7463725544385,69310.84753883332,215151.90854233707,6.224874894797233e-05,0.14768957898420698,0.01783222771851896,214.85048571748544,12078.143210686743,0.008790679542619709
355,7.74783652804014,0.8350515586701183,1.138413712649468,3398.9957096100234,2056.983011807005,3381.1962206556027,69001.77569213258,214186.36229701646,6.239693982768119e-05,0.1482056017200262,0.01782932672088458,219.37855539950755,12336.153831325275,0.008753596587904859
356,7.769661419668422,0.8375240556873813,1.1593551517688996,3398.9901737814853,2056.342973504064,3380.6879219150533,68687.02560199969,213203.76887073583,6.253076434848382e-05,0.14867191729400875,0.017826646418806172,223.39729170268268,12568.672584118123,0.008720966150684796
357,7.791486311296705,0.8399965527046442,1.1835755489150992,3398.984646326541,2055.6785107020637,3380.0915400181025,68386.00954955838,212262.9024188283,6.268836486060418e-05,0.14922146520330712,0.01782350164710609,228.04422687165354,12831.545979883045,0.008684937281378263
358,7.813311202924987,0.8428368991025377,1.213133658332838,3398.979133738526,2054.9878814681856,3379.3401232983056,68052.39024139756,211219.34700687559,6.288463570747242e-05,0.149906430288306,0.017819539364041577,233.7133234889101,13143.287842662823,0.00864334164307361
359,7.835136094553269,0.8481107106338323,1.2424244449762427,3398.9736425861906,2054.273570231539,3378.560454914015,67372.53829616291,209101.12851150348,6.308325513097484e-05,0.15060023332576855,0.017815428107748436,239.32865569255983,13451.072547039856,0.00860341951864119
360,7.8569609861815515,0.853384522165127,1.2686099216901692,3398.9681732841073,2053.5381869139383,3377.835129705891,66694.53753257064,206989.443671886,6.326428266902975e-05,0.15123314099184745,0.017811603407640663,244.34654027942366,13728.99416584016,0.008568301487239192
361,7.878785877809833,0.8586583336964215,1.2925583741686009,3398.962725998829,2052.783388475841,3377.151039711748,66020.97263838576,204892.11636120555,6.343272280106513e-05,0.15182251066654168,0.017807996144305695,248.9340325534429,13985.524959501645,0.008536635317583377
362,7.9006107694381145,0.8639321452277162,1.3153650234603815,3398.9573007960075,2052.009962233685,3376.483308326762,65355.2699869529,202819.49984294298,6.359569908895699e-05,0.15239318895338255,0.017804475141321663,253.3013238134799,14230.922605597185,0.008506989016294477
363,7.922435661066397,0.8692581522640475,1.3377018785341566,3398.9518990010447,2051.2188427646734,3375.814553431747,64692.45960070415,200755.9932528556,6.375773876985208e-05,0.15296099904351285,0.017800948741321192,257.57724515417635,14471.380392537721,0.008478528639997944
364,7.944260552694679,0.8751061143507424,1.3591176356001717,3398.9465218973896,2050.411376112579,3375.1594056573913,63969.220582666094,198505.23804844273,6.391532965297103e-05,0.15351360927339897,0.017797494092823572,261.6754976646186,14702.92911556465,0.008451654028282594
365,7.966085444322961,0.8809540764374374,1.3793107537416214,3398.9411694782793,2049.5887621836628,3374.529326226226,63255.32905743293,196283.86646729326,6.40659172187451e-05,0.15404201660852818,0.017794171631797247,265.5385577121828,14923.022031831153,0.008426575715040942
366,7.987910335951243,0.8868020385241322,1.3984592821449335,3398.935841701063,2048.75204755071,3373.9211058170517,62551.09026741871,194092.7819569706,6.421049681965825e-05,0.15454966538887616,0.017790964435220352,269.2006808080132,15133.392540637515,0.008403016648121124
367,8.009735227579526,0.8926500006108274,1.4167009932063417,3398.9305384957047,2047.9021574453845,3373.332202183832,61856.68317935117,191932.50520486088,6.434983750556359e-05,0.1550392160138283,0.017787859097615176,272.6883731466527,15335.378797921618,0.008380763433111236
368,8.031560119207807,0.8984979626975221,1.4341451584750695,3398.9252597708905,2047.0399188395527,3372.760559524771,61172.19876462713,189803.2903333501,6.448454852610007e-05,0.15551277541653166,0.017784844778565834,276.0226575394726,15530.03962492528,0.008359647608979741
369,8.05338501083609,0.9043459247842172,1.4508802288035443,3398.920005418548,2046.166077604589,3372.2044863287338,60497.66505950392,187705.20096497913,6.461512261516798e-05,0.15597204705542486,0.01778191255859198,279.22055114672804,15718.230034100316,0.008339533457207568
370,8.07520990246437,0.910193886870912,1.4669790371206446,3398.9147753172697,2045.2813115916706,3371.662570092148,59833.064190369936,185638.16189661087,6.474196525888023e-05,0.15641843232290512,0.017779054989443738,282.296066491694,15900.652347297419,0.008320309757444203
371,8.097034794092654,0.9160418489576071,1.4825024364777137,3398.909569334959,2044.3862408168932,3371.133616147428,59178.34429937436,183601.99529247097,6.486541512616707e-05,0.15685310132539093,0.017776265771538794,285.26091139412847,16077.891909020655,0.008301884032499339
372,8.118859685720937,0.9218898110443022,1.4975019132790264,3398.9043873309133,2043.4814355383048,3370.616602756518,58533.428113908834,181596.44668851176,6.498575872077589e-05,0.15727704363755557,0.017773539517166828,288.12499172109943,16250.44271736221,0.008284178421570879
373,8.140684577349218,0.9277377731309968,1.5120215082482908,3398.8992291574823,2042.5674227637685,3370.1106474740795,57898.21923832873,179621.20408170257,6.510324113571196e-05,0.15769110555072852,0.017770871573119743,290.89678094627243,16418.726249029358,0.008267126651905824
374,8.1625094689775,0.9335857352176922,1.5260992571444167,3398.8940946614116,2041.644691568153,3369.614981503194,57272.60685839539,177675.9122003925,6.521807410761958e-05,0.15809601796588527,0.017768257885467126,293.5835973122457,16583.1055660563,0.00825067177149117
375,8.184334360605781,0.9394336973043868,1.5397682904822716,3398.8889836849376,2040.7136974916368,3369.128929836771,56656.46931396171,175760.18333865653,6.533044215658439e-05,0.15849241765344385,0.017765694894840207,296.19181538973686,16743.896074591055,0.008234764421397665
376,8.206159252234064,0.945281659391082,1.5530576861393763,3398.8838960666912,2039.7748662181675,3368.6518956639084,56049.67684836341,173873.60569112079,6.544050734022549e-05,0.15888086371261678,0.017763179454205285,298.7270300963327,16901.37385909856,0.00821936149869138
377,8.227984143862345,0.9511296214777768,1.5659931396103641,3398.8788316424493,2038.8285966823819,3368.1833479715633,55452.09374825811,172015.7498372128,6.55484129864669e-05,0.1592618504929964,0.017760708763486278,301.1941856345884,17055.782228570086,0.008204425107179145
378,8.249809035490628,0.9569775835644719,1.5785974975052453,3398.873790245763,2037.8752637172333,3367.7228115752637,54863.58002506443,170186.1738337731,6.565428666124692e-05,0.1596358178662849,0.017758280316995844,303.597678121636,17207.336922688257,0.008189921723733787
379,8.271633927118911,0.962825545651167,1.5908911869855495,3398.8687717084886,2036.915220328489,3367.26985902081,54283.99274686356,168384.4272465697,6.575824255471255e-05,0.16000315948409774,0.01775589186073237,305.9414382001191,17356.230298968647,0.008175821528444966
380,8.293458818747192,0.9686735077378614,1.602892564969933,3398.8637758612363,2035.9487996630623,3366.8241039444297,53713.18710045507,166610.05436269662,6.586038341955013e-05,0.16036422948486664,0.017753541357367494,308.22899821516927,17502.63473475219,0.008162097860910583
381,8.315283710375475,0.9745214698245565,1.614618204741258,3398.8588025337526,2034.9763167238546,3366.3851955822643,53151.01724277509,164862.59676364102,6.596080216023804e-05,0.16071934799204582,0.017751226957294194,310.4635473494081,17646.705416990324,0.008148726774816446
382,8.337108602003756,0.9803694319112509,1.6260831331781627,3398.8538515552473,2033.9980698729557,3365.9528141946766,52597.33698625732,163141.59539439334,6.6059583147233e-05,0.16106880565999027,0.017748946974498744,312.6479772597282,17788.58264945017,0.008135686669938724
383,8.358933493632039,0.986217393997946,1.6373010286510499,3398.848922754673,2033.0143421568037,3365.526667225414,52052.00035211259,161446.5922317711,6.615680331223148e-05,0.1614128674619592,0.01774669986630768,314.7849201472436,17928.39377571115,0.008122957985743284
384,8.380758385260322,0.9920653560846413,1.6482843872925843,3398.8440159609677,2032.0254024804894,3365.106486056092,51514.86201771205,159777.13163147084,6.625253306758323e-05,0.16175177586943187,0.01774448421627392,316.8767807435863,18066.25479345758,0.00811052294444133
385,8.402583276888603,0.9979133181713363,1.6590446636257459,3398.8391310032625,2031.0315066534206,3364.692023246751,50985.77767845857,158132.76141575052,6.634683708325291e-05,0.1620857535383924,0.017742298719625987,318.92576336448826,18202.271718627304,0.008098365334090448
386,8.424408168516885,1.0037612802580318,1.669592390237323,3398.834267711062,2030.0328983246086,3364.28305017618,50464.60434016213,156513.03375037463,6.64397749474764e-05,0.1624150055931159,0.01774014217082523,320.93389493243524,18336.54174527727,0.008086470324375023
387,8.446233060145167,1.0096092423447267,1.6799372802029249,3398.8294259143977,2029.0298098227142,3363.8793550132555,49951.20055461666,154917.50584937938,6.653140173176225e-05,0.16273972157896968,0.01773801345286852,322.90304468130586,18469.15423740235,0.008074824309249131
